,random_forest,xgboost,gradient_boosting
precision,0.7968818620992534,0.7332981637074631,0.5622351420494168
recall,0.09274153500300104,0.18008540654552882,0.20710046458032863
f1,0.1390503672796691,0.273071263846235,0.29096400685862994
accuracy,0.9269529678275936,0.9312060982756214,0.9290869760182762
balanced_accuracy,0.5461513348290753,0.587624190925133,0.5986698783096999
roc_auc,0.810702229030889,0.7951656753211592,0.7928691066865242
average_precision,0.4077093128718294,0.4106018188804168,0.3690618676859127
